frame,english
Change_event_time,Our information is that Mr Evans left the Club in order to go and see [Cause what]was [Target delaying][Event the arrival of his wife]whom he had been expecting for some time .
Change_event_time,"Knowing what he would find when he went there , and knowing that it would pain him , [Agent Edouard][Target delayed][Event the moment when he would make a formal inspection of the house]. "
Change_event_time,"[Agent She]reached for the glass , [Target delaying][Event the moment when she 'd have to answer], unsure even how to answer . "
Change_event_time,It would seem reasonable to call a drug an analgesic for a rat if [Cause it][Target delays][Event the time when the rat licks its feet when parked on a hot plate].
Change_event_time,Was [Event autumn][Degree further][Target delayed][Explanation to allow six party conferences one after the other]?
Change_event_time,"The problem came to light when [Event an ambulance]was [Target delayed][Event attending an emergency at Harwood-in-Teesdale], just before Christmas . "
Change_event_time,[Agent Owner-occupiers]tend to [Target delay][Event childbearing]because they face heavy housing costs at the beginning of their marriage .
Change_event_time,"Eventually the time came when [Agent she]could n't [Target delay][Event going downstairs]any longer , and when she reached the kitchen she discovered that the visitor had left , and that Silas was examining the contents of the fridge . "
Change_event_time,[Agent Bradford Northern coach Peter Fox]has [Target delayed][Event naming his side for tomorrow 's Trophy quarter-final against Widnes]but Great Britain scrum-half Deryck Fox is definitely out .
Change_event_time,RUGBY UNION : [Agent Scotland]have [Target delayed][Event naming their team for Saturday 's international against world champions Australia]amid continuing doubts over the fitness of full back Gavin Hastings .
Change_event_time,Do not [Target delay][Event requesting veterinary attention for any young foal which is not sucking and has diarrhoea].
Change_event_time,"[Agent I][Target delayed][Event switching the computer off]while I racked my brain trying to think of some way of saving them , but there was none . "
Change_event_time,"At their meeting in either 1749 or 1750 , Christopher Smart accepted this task from Richardson ; however , [Agent he][Target delayed][Event writing the piece which was to be printed in the volume]. "
Change_event_time,"[Agent She]rattled on breathlessly , perhaps encouraged , Dexter thought , by a desire to [Target delay][Event Blanche coming to the point of the meeting]. "
Change_event_time,[Agent Corporate lawyers]managed to [Target delay][Event the case coming to court][Interval for two years]and then they prolonged the proceedings for a further two years .
Change_event_time,[Cause The crisis over aid to eastern Bosnia]has [Target delayed][Event the peace negotiations taking place at the United Nations].
Change_event_time,[Agent A HOME OFFICE minister]yesterday intervened at the last minute to [Target delay][Event a Kurdish refugee being flown back to Turkey].
Change_event_time,So [Agent he]was [Target delaying][Event beginning to play].
Change_event_time,But the government front bench denied opposition claims that [Agent they]'d [Manner deliberately][Target delayed][Event the decision]to boost Tory support on the eve of the Party Conference .
Change_event_time,"Consequently , [Agent field social workers][Target delayed][Event the decision to admit young people to care], and , subsequently , were forced to do so when events had overtaken them . "
Change_event_time,[Agent Glaxo]has since [Target delayed][Event the launch][Destination_event to await product approvals]but it 's a massive project and will take out rigid packaging business forward very quickly when it comes on stream -- probably late this year .
Change_event_time,Race officials claim [Event the start of the run]had been [Target delayed][Interval 20 minutes][Explanation to avoid the train]but the race was running 10 minutes ahead of schedule .
Change_event_time,"[Cause The new discovery , of weakness in welded joints], may [Target delay][Event plans to reopen the plant 's two reactors]. "
Change_event_time,[Agent SALVAGE specialists]were forced yesterday to [Target delay][Event plans to refloat the Danish cargo ship aground on an island in the Pentland Firth].
Change_event_time,"Researchers at NASA claim that even if the sulphur effect does exist , [Cause it]could at most only [Target delay][Event the greenhouse effect][Destination_event until fossil fuels run out]. "
Change_event_time,"[Agent They]were , however , encouraged to [Target delay][Event their accident estimate][Destination_event until they had thought specifically about how busy the junction would normally be and how it might appear in other conditions]. "
