frame,english,gold standard,chatgpt_translation
Change_event_time,Our information is that Mr Evans left the Club in order to go and see [Cause what]was [Target delaying][Event the arrival of his wife]whom he had been expecting for some time . ,Vår information är att Herr Evans lämnade Klubben för att gå och se [Cause vad] som [Target försenade][Event ankomsten av hans fru]som han hade väntat på under en tid.,"Vår information är att Herr Evans lämnade Klubben för att gå och se [Cause vad]var [Target försenade][Event ankomsten av hans fru]som han hade väntat på under en tid . """
Change_event_time,"Knowing what he would find when he went there , and knowing that it would pain him , [Agent Edouard][Target delayed][Event the moment when he would make a formal inspection of the house]. ","Vetande vad han skulle finna när han gick dit, och vetande att det skulle göra ont för honom, [Agent Edouard][Target fördröjde][Event ögonblicket då han skulle göra en formell inspektion av huset.","Knowing what he would find when he went there , and knowing that it would pain him , [Agent Edouard][Target försenad][Event ögonblicket när han skulle göra en formell inspektion av huset]."
Change_event_time,"[Agent She]reached for the glass , [Target delaying][Event the moment when she 'd have to answer], unsure even how to answer . ","[Agent Hon] sträckte sig efter glaset , [Target fördröjde][Event ögonblicket när hon skulle behöva svara], osäker på hur hon ens skulle svara .","[Agent Hon] sträckte sig efter glaset , [Target fördröjande][Event ögonblicket när hon skulle behöva svara], osäker på hur hon ens skulle svara ."
Change_event_time,It would seem reasonable to call a drug an analgesic for a rat if [Cause it][Target delays][Event the time when the rat licks its feet when parked on a hot plate].,Det skulle verka rimligt att kalla ett läkemedel för ett smärtstillande medel för en råtta om [Cause det][Target fördröjer][Event tiden då råttan slickar sina fötter när den står på en varm platta].,Det skulle verka rimligt att kalla ett läkemedel för ett smärtstillande medel för en råtta om [Cause det][Target fördröjer][Event tiden då råttan slickar sina fötter när den står på en varm platta].
Change_event_time,Was [Event autumn][Degree further][Target delayed][Explanation to allow six party conferences one after the other]?,Var [Event hösten][Degree ytterligare][Target försenad][Explanation för att tillåta sex partikonferenser efter varandra]?,Var [Event höst][Degree ytterligare][Target försenad][Explanation för att tillåta sex partikonferenser efter varandra]?
Change_event_time,"The problem came to light when [Event an ambulance]was [Target delayed][Event attending an emergency at Harwood-in-Teesdale], just before Christmas . ","Problemet blev känt när [Event en ambulans]var [Target försenad][Event till en nödsituation i Harwood-in-Teesdale], strax före jul .","Problemet blev känt när [Händelse en ambulans]var [Mål försenad][Händelse deltog i en nödsituation i Harwood-in-Teesdale], strax före jul ."
Change_event_time,[Agent Owner-occupiers]tend to [Target delay][Event childbearing]because they face heavy housing costs at the beginning of their marriage .,[Agent Boendeägare] tenderar att [Target skjuta upp][Event barnafödande] eftersom de möter höga bostadskostnader i början av sitt äktenskap .,[Agent Ägarbostadsinnehavare] tenderar att [Target skjuta upp][Event barnafödande] eftersom de möter höga bostadskostnader i början av sitt äktenskap .
Change_event_time,"Eventually the time came when [Agent she]could n't [Target delay][Event going downstairs]any longer , and when she reached the kitchen she discovered that the visitor had left , and that Silas was examining the contents of the fridge . ","Till slut kom tiden när [Agent hon]inte längre kunde [Target fördröja][Event att gå nerför trappan], och när hon nådde köket upptäckte hon att besökaren hade lämnat, och att Silas undersökte innehållet i kylskåpet.","Till slut kom tiden när [Agent hon]inte längre kunde [Target fördröja][Event gå nerför trappan], och när hon nådde köket upptäckte hon att besökaren hade lämnat, och att Silas undersökte innehållet i kylskåpet."
Change_event_time,[Agent Bradford Northern coach Peter Fox]has [Target delayed][Event naming his side for tomorrow 's Trophy quarter-final against Widnes]but Great Britain scrum-half Deryck Fox is definitely out .,[Agent Bradford Northern tränaren Peter Fox]har [Target försenat][Event meddelat sin sida för morgondagens Trophy-kvartsfinal mot Widnes]men Storbritanniens halvtidsback Deryck Fox är definitivt ute.,[Agent Bradford Norrlands tränare Peter Fox]har [Target försenad][Event meddelar sin sida för morgondagens Trophy kvartsfinal mot Widnes]men Storbritanniens halvtidsback Deryck Fox är definitivt borta.
Change_event_time,RUGBY UNION : [Agent Scotland]have [Target delayed][Event naming their team for Saturday 's international against world champions Australia]amid continuing doubts over the fitness of full back Gavin Hastings .,RUGBY UNION : [Agent Skottland]har [Target försenat][Event utsett sitt lag för lördagens landskamp mot världsmästarna Australien]mitt i fortsatta tvivel om fullbacken Gavin Hastings hälsa.,RUGBY UNION : [Agent Skottland]har [Target försenat][Event utsett sitt lag för lördagens landskamp mot världsmästarna Australien]mitt i fortsatta tvivel om fullbacken Gavin Hastings hälsa.
