frame,english,gemini_swedish
Change_event_time,Our information is that Mr Evans left the Club in order to go and see [Cause what]was [Target delaying][Event the arrival of his wife]whom he had been expecting for some time .,Vår information är att Herr Evans lämnade klubben för att åka och se [Cause vad] som [Target fördröjde] [Event hans frus ankomst] som han hade väntat på en tid.
Change_event_time,"Knowing what he would find when he went there , and knowing that it would pain him , [Agent Edouard][Target delayed][Event the moment when he would make a formal inspection of the house]. ","Viss om vad han skulle finna när han kom dit, och viss om att det skulle smärta honom, [Agent Edouard][Target sköt upp][Event ögonblicket då han skulle genomföra en formell besiktning av huset]."
Change_event_time,"[Agent She]reached for the glass , [Target delaying][Event the moment when she 'd have to answer], unsure even how to answer . ","[Agent Hon]sträckte sig efter glaset, [Target fördröjande][Event ögonblicket då hon skulle behöva svara], osäker på hur hon ens skulle svara."
Change_event_time,It would seem reasonable to call a drug an analgesic for a rat if [Cause it][Target delays][Event the time when the rat licks its feet when parked on a hot plate].,Det skulle verka rimligt att kalla ett läkemedel ett smärtstillande medel för en råtta om [Cause det][Target fördröjer][Event tiden när råttan slickar sina tassar när den står på en varm platta].
Change_event_time,Was [Event autumn][Degree further][Target delayed][Explanation to allow six party conferences one after the other]?,Var [Event hösten][Degree ytterligare][Target försenades][Explanation för att möjliggöra sex partikonferenser efter varandra]?
Change_event_time,"The problem came to light when [Event an ambulance]was [Target delayed][Event attending an emergency at Harwood-in-Teesdale], just before Christmas . ","Problemet uppdagades när [Event en ambulans] blev [Target fördröjd] [Event när den skulle rycka ut till en nödsituation i Harwood-in-Teesdale], strax före jul."
Change_event_time,[Agent Owner-occupiers]tend to [Target delay][Event childbearing]because they face heavy housing costs at the beginning of their marriage .,[Agent Bostadsrättsinnehavare] tenderar att [Target fördröja][Event barnafödande] eftersom de står inför tunga boendekostnader i början av sitt äktenskap.
Change_event_time,"Eventually the time came when [Agent she]could n't [Target delay][Event going downstairs]any longer , and when she reached the kitchen she discovered that the visitor had left , and that Silas was examining the contents of the fridge . ","Till slut kom tiden då [Agent hon] kunde inte [Target skjuta upp] [Event att gå ner] längre, och när hon kom ner i köket upptäckte hon att besökaren hade gått, och att Silas undersökte innehållet i kylen."
Change_event_time,[Agent Bradford Northern coach Peter Fox]has [Target delayed][Event naming his side for tomorrow 's Trophy quarter-final against Widnes]but Great Britain scrum-half Deryck Fox is definitely out .,[Agent Bradford Northerns tränare Peter Fox] har [Target skjutit upp][Event namngivningen av sitt lag inför morgondagens Trophy-kvartsfinal mot Widnes] men Storbritanniens scrum-half Deryck Fox är definitivt ute.
Change_event_time,RUGBY UNION : [Agent Scotland]have [Target delayed][Event naming their team for Saturday 's international against world champions Australia]amid continuing doubts over the fitness of full back Gavin Hastings .,RUGBY UNION : [Agent Skottland] har [Target försenat][Event laguttagningen inför lördagens landskamp mot världsmästarna Australien] mitt i fortsatta tvivel om fullbacken Gavin Hastingss form.
